sample_id,CXCL13_expression,CXCL13_status
TCGA-GC-A4ZW-01,32.5493,not_enriched
TCGA-GC-A6I1-01,397.167,not_enriched
TCGA-GC-A6I3-01,632.698,enriched
TCGA-GD-A2C5-01,11.5965,not_enriched
TCGA-GD-A3OP-01,94.0027,not_enriched
TCGA-GD-A3OQ-01,190.748,not_enriched
TCGA-GD-A3OS-01,358.915,not_enriched
TCGA-GD-A6C6-01,4.7851,not_enriched
TCGA-GD-A76B-01,676.0,enriched
TCGA-GU-A42P-01,1.8999,not_enriched
TCGA-GU-A42Q-01,20.6101,not_enriched
TCGA-GU-A42R-01,6.04,not_enriched
TCGA-GU-A762-01,1096.97,enriched
TCGA-GU-A763-01,566.842,enriched
TCGA-GU-A764-01,794.935,enriched
TCGA-GU-A766-01,1837.74,enriched
TCGA-GU-A767-01,8.3726,not_enriched
TCGA-GU-AATO-01,132.972,not_enriched
TCGA-GU-AATP-01,117.862,not_enriched
TCGA-GU-AATQ-01,79.0656,not_enriched
TCGA-GV-A3JV-01,301.592,not_enriched
TCGA-GV-A3JW-01,1.0274,not_enriched
TCGA-GV-A3JX-01,174.179,not_enriched
TCGA-GV-A3JZ-01,38.4766,not_enriched
TCGA-GV-A3QF-01,0.4767,not_enriched
TCGA-GV-A3QG-01,2603.14,enriched
TCGA-GV-A3QH-01,4.3743,not_enriched
TCGA-GV-A3QI-01,3.4538,not_enriched
TCGA-GV-A3QK-01,300.188,not_enriched
TCGA-GV-A40E-01,194.924,not_enriched
TCGA-GV-A40G-01,2.2883,not_enriched
TCGA-GV-A6ZA-01,206.427,not_enriched
TCGA-H4-A2HO-01,5.0102,not_enriched
TCGA-H4-A2HQ-01,18.6959,not_enriched
TCGA-HQ-A2OE-01,31.647,not_enriched
TCGA-HQ-A2OF-01,3.6765,not_enriched
TCGA-HQ-A5ND-01,9.8876,not_enriched
TCGA-HQ-A5NE-01,41.7743,not_enriched
TCGA-K4-A3WS-01,718.06,enriched
TCGA-K4-A3WU-01,1593.09,enriched
TCGA-K4-A3WV-01,986.527999999999,enriched
TCGA-K4-A4AB-01,282.021,not_enriched
TCGA-K4-A4AC-01,106.953,not_enriched
TCGA-K4-A54R-01,1088.55,enriched
TCGA-K4-A5RH-01,1280.11,enriched
TCGA-K4-A5RI-01,7.2568,not_enriched
TCGA-K4-A5RJ-01,537.111,enriched
TCGA-K4-A6FZ-01,146.303,not_enriched
TCGA-K4-A6MB-01,7.1994,not_enriched
TCGA-K4-A83P-01,3571.82,enriched
TCGA-K4-AAQO-01,454.707,enriched
TCGA-KQ-A41N-01,24.4845,not_enriched
TCGA-KQ-A41O-01,1.2589,not_enriched
TCGA-KQ-A41P-01,58.1493,not_enriched
TCGA-KQ-A41Q-01,26.5245,not_enriched
TCGA-KQ-A41R-01,4.4131,not_enriched
TCGA-KQ-A41S-01,78.8288,not_enriched
TCGA-LC-A66R-01,652.395,enriched
TCGA-LT-A5Z6-01,263.896,not_enriched
TCGA-LT-A8JT-01,189.407,not_enriched
TCGA-MV-A51V-01,32.5953,not_enriched
TCGA-PQ-A6FI-01,153.399,not_enriched
TCGA-PQ-A6FN-01,421.377,not_enriched
TCGA-R3-A69X-01,829.923,enriched
TCGA-S5-A6DX-01,1160.31,enriched
TCGA-S5-AA26-01,7.9191,not_enriched
TCGA-SY-A9G0-01,2651.92,enriched
TCGA-SY-A9G5-01,900.256,enriched
TCGA-UY-A78K-01,991.776,enriched
TCGA-UY-A78L-01,34.6845,not_enriched
TCGA-UY-A78M-01,8.5755,not_enriched
TCGA-UY-A78N-01,7.3844,not_enriched
TCGA-UY-A78O-01,212.278,not_enriched
TCGA-UY-A78P-01,365.392,not_enriched
TCGA-UY-A8OB-01,269.106,not_enriched
TCGA-UY-A8OC-01,664.582,enriched
TCGA-UY-A8OD-01,448.489,enriched
TCGA-UY-A9PA-01,172.414,not_enriched
TCGA-UY-A9PB-01,1397.44,enriched
TCGA-UY-A9PD-01,123.215,not_enriched
TCGA-UY-A9PE-01,105.691,not_enriched
TCGA-UY-A9PF-01,214.546,not_enriched
TCGA-UY-A9PH-01,918.737,enriched
TCGA-XF-A8HB-01,0.6869,not_enriched
TCGA-XF-A8HC-01,1.1846,not_enriched
TCGA-XF-A8HD-01,490.518,enriched
TCGA-XF-A8HE-01,679.792,enriched
TCGA-XF-A8HF-01,56.7215,not_enriched
TCGA-XF-A8HG-01,0.0,not_enriched
TCGA-XF-A8HH-01,44.6224,not_enriched
TCGA-XF-A8HI-01,65.2386,not_enriched
TCGA-XF-A9SH-01,11.0396,not_enriched
TCGA-XF-A9SI-01,63590.0,enriched
TCGA-XF-A9SJ-01,316.116,not_enriched
TCGA-XF-A9SK-01,359.913,not_enriched
TCGA-XF-A9SL-01,2474.75,enriched
TCGA-XF-A9SM-01,1826.51,enriched
TCGA-XF-A9SP-01,169.927,not_enriched
TCGA-XF-A9ST-01,6.4421,not_enriched
TCGA-XF-A9SU-01,163.612,not_enriched
TCGA-XF-A9SV-01,14.245,not_enriched
TCGA-XF-A9SW-01,564.901,enriched
TCGA-XF-A9SX-01,477.977,enriched
TCGA-XF-A9SY-01,1201.31,enriched
TCGA-XF-A9SZ-01,31.8363,not_enriched
TCGA-XF-A9T0-01,427.205,not_enriched
TCGA-XF-A9T2-01,21.6777,not_enriched
TCGA-XF-A9T3-01,301.166,not_enriched
TCGA-XF-A9T4-01,280.989,not_enriched
TCGA-XF-A9T5-01,1245.1,enriched
TCGA-XF-A9T6-01,59.0527,not_enriched
TCGA-XF-A9T8-01,394.002,not_enriched
TCGA-XF-AAME-01,2131.43,enriched
TCGA-XF-AAMG-01,86.174,not_enriched
TCGA-XF-AAMH-01,2.0921,not_enriched
TCGA-XF-AAMJ-01,162.925,not_enriched
TCGA-XF-AAML-01,271.985,not_enriched
TCGA-XF-AAMQ-01,628.249,enriched
TCGA-XF-AAMR-01,12.8581,not_enriched
TCGA-XF-AAMT-01,79.0248,not_enriched
TCGA-XF-AAMW-01,5113.94,enriched
TCGA-XF-AAMX-01,30.1587,not_enriched
TCGA-XF-AAMY-01,17.4421,not_enriched
TCGA-XF-AAMZ-01,597.964,enriched
TCGA-XF-AAN0-01,239.044,not_enriched
TCGA-XF-AAN1-01,4.1551,not_enriched
TCGA-XF-AAN2-01,493.493,enriched
TCGA-XF-AAN3-01,79.6987,not_enriched
TCGA-XF-AAN4-01,362.09,not_enriched
TCGA-XF-AAN5-01,699.149,enriched
TCGA-XF-AAN7-01,31.2764,not_enriched
TCGA-XF-AAN8-01,271.605,not_enriched
TCGA-YC-A89H-01,35.4449,not_enriched
TCGA-YC-A8S6-01,49.4405,not_enriched
TCGA-YC-A9TC-01,8.3082,not_enriched
TCGA-YF-AA3L-01,1.0373,not_enriched
TCGA-YF-AA3M-01,2.886,not_enriched
TCGA-ZF-A9R0-01,216.315,not_enriched
TCGA-ZF-A9R1-01,602.364,enriched
TCGA-ZF-A9R2-01,4.6446,not_enriched
TCGA-ZF-A9R3-01,9.7534,not_enriched
TCGA-ZF-A9R4-01,105.838,not_enriched
TCGA-ZF-A9R5-01,12.9032,not_enriched
TCGA-ZF-A9R7-01,737.124,enriched
TCGA-ZF-A9R9-01,105.171,not_enriched
TCGA-ZF-A9RC-01,19.3353,not_enriched
TCGA-ZF-A9RD-01,930.294999999999,enriched
TCGA-ZF-A9RE-01,1.5983,not_enriched
TCGA-ZF-A9RF-01,226.268,not_enriched
TCGA-ZF-A9RL-01,5.0588,not_enriched
TCGA-ZF-A9RM-01,1.5516,not_enriched
TCGA-ZF-A9RN-01,811.33,enriched
TCGA-ZF-AA4N-01,265.414,not_enriched
TCGA-ZF-AA4R-01,50.6108,not_enriched
TCGA-ZF-AA4T-01,13.6054,not_enriched
TCGA-ZF-AA4U-01,11.0935,not_enriched
TCGA-ZF-AA4V-01,299.698,not_enriched
TCGA-ZF-AA4W-01,24.1118,not_enriched
TCGA-ZF-AA4X-01,3.2016,not_enriched
TCGA-ZF-AA51-01,650.339,enriched
TCGA-ZF-AA52-01,7.0671,not_enriched
TCGA-ZF-AA53-01,338.843,not_enriched
TCGA-ZF-AA54-01,86.0324,not_enriched
TCGA-ZF-AA56-01,422.585,not_enriched
TCGA-ZF-AA58-01,1597.39,enriched
TCGA-ZF-AA5H-01,1084.39,enriched
TCGA-ZF-AA5N-01,6.135,not_enriched
TCGA-ZF-AA5P-01,373.541,not_enriched
